trip_id,arrival_time,departure_time,stop_id,stop_sequence
1WDO1,,,94001,1
1WDO1,,,94002,2
1WDO1,,,94003,3
1WDO1,,,96001,4
1WDO1,,,94004,5
1WDO1,,,94005,6
1WDO1,,,94006,7
1WDO1,,,94007,8
1WDO1,,,94008,9
1WDO1,,,94009,10
1WDO1,,,94010,11
1WDO1,,,94011,12
1WDO1,,,94012,13
1WDO1,,,94013,14
1WDO1,,,94014,15
1WDO1,,,94015,16
1WDO1,,,94016,17
1WDO1,,,94017,18
1WDO1,,,94018,19
1WDO1,,,96004,20
1WDO1,,,97011,21
1WDO1,,,94021,22
1WDO1,,,96005,23
1WDO1,,,94024,24
1WDO1,,,97012,25
1WDO1,,,96026,26
1WDO1,,,94027,27
1WDO1,,,94028,28
1WDO1,,,6013,29
1WDO1,,,94029,30
1WDO1,,,94030,31
1WDO1,,,94031,32
1WDO1,,,94032,33
1WDO1,,,96015,34
1WDO1,,,94033,35
1WDO1,,,96016,36
1WDO1,,,96017,37
1WDO1,,,96018,38
1WDO1,,,96019,39
1WDO1,,,99004,40
1WDO1,,,99005,41
1WDO1,,,2057,42
1WDO1,,,2006,43
1WDO1,,,2007,44
1WDO1,,,2008,45
1WDO1,,,6014,46
1WDO1,,,96029,47
1WDO2,,,94001,1
1WDO2,,,94002,2
1WDO2,,,94003,3
1WDO2,,,96001,4
1WDO2,,,94004,5
1WDO2,,,94005,6
1WDO2,,,94006,7
1WDO2,,,94007,8
1WDO2,,,94008,9
1WDO2,,,94009,10
1WDO2,,,94010,11
1WDO2,,,94011,12
1WDO2,,,94012,13
1WDO2,,,94013,14
1WDO2,,,94014,15
1WDO2,,,94015,16
1WDO2,,,94016,17
1WDO2,,,94017,18
1WDO2,,,94018,19
1WDO2,,,96004,20
1WDO2,,,97011,21
1WDO2,,,94021,22
1WDO2,,,96005,23
1WDO2,,,94024,24
1WDO2,,,97012,25
1WDO2,,,96026,26
1WDO2,,,94027,27
1WDO2,,,94028,28
1WDO2,,,6013,29
1WDO2,,,94029,30
1WDO2,,,94030,31
1WDO2,,,94031,32
1WDO2,,,94032,33
1WDO2,,,96015,34
1WDO2,,,94033,35
1WDO2,,,96016,36
1WDO2,,,96017,37
1WDO2,,,96018,38
1WDO2,,,96019,39
1WDO2,,,99004,40
1WDO2,,,99005,41
1WDO2,,,2057,42
1WDO2,,,2006,43
1WDO2,,,2007,44
1WDO2,,,2008,45
1WDO2,,,6014,46
1WDO2,,,96029,47
1WDO3,,,94001,1
1WDO3,,,94002,2
1WDO3,,,94003,3
1WDO3,,,96001,4
1WDO3,,,94004,5
1WDO3,,,94005,6
1WDO3,,,94006,7
1WDO3,,,94007,8
1WDO3,,,94008,9
1WDO3,,,94009,10
1WDO3,,,94010,11
1WDO3,,,94011,12
1WDO3,,,94012,13
1WDO3,,,94013,14
1WDO3,,,94014,15
1WDO3,,,94015,16
1WDO3,,,94016,17
1WDO3,,,94017,18
1WDO3,,,94018,19
1WDO3,,,96004,20
1WDO3,,,97011,21
1WDO3,,,94021,22
1WDO3,,,96005,23
1WDO3,,,94024,24
1WDO3,,,97012,25
1WDO3,,,96026,26
1WDO3,,,94027,27
1WDO3,,,94028,28
1WDO3,,,6013,29
1WDO3,,,94029,30
1WDO3,,,94030,31
1WDO3,,,94031,32
1WDO3,,,94032,33
1WDO3,,,96015,34
1WDO3,,,94033,35
1WDO3,,,96016,36
1WDO3,,,96017,37
1WDO3,,,96018,38
1WDO3,,,96019,39
1WDO3,,,99004,40
1WDO3,,,99005,41
1WDO3,,,2057,42
1WDO3,,,2006,43
1WDO3,,,2007,44
1WDO3,,,2008,45
1WDO3,,,6014,46
1WDO3,,,96029,47
1WDO4,,,94001,1
1WDO4,,,94002,2
1WDO4,,,94003,3
1WDO4,,,96001,4
1WDO4,,,94004,5
1WDO4,,,94005,6
1WDO4,,,94006,7
1WDO4,,,94007,8
1WDO4,,,94008,9
1WDO4,,,94009,10
1WDO4,,,94010,11
1WDO4,,,94011,12
1WDO4,,,94012,13
1WDO4,,,94013,14
1WDO4,,,94014,15
1WDO4,,,94015,16
1WDO4,,,94016,17
1WDO4,,,94017,18
1WDO4,,,94018,19
1WDO4,,,96004,20
1WDO4,,,97011,21
1WDO4,,,94021,22
1WDO4,,,96005,23
1WDO4,,,94024,24
1WDO4,,,97012,25
1WDO4,,,96026,26
