stop_id,stop_name,stop_lat,stop_lon
1,Cerrillos Rd NS Clark Rd (Sonic),35.657087,-105.989141
3,South Capitol Station,35.673178,-105.957191
2001,Sabino St. NS Guadalupe St.,35.69153,-105.952286
2002,Sabino FS Guadalupe St.,35.691522,-105.952498
2003,Perimeter Rd. FS Paseo de Peralta,35.69498,-105.95128
2004,Perimeter Rd NS Paseo de Peralta ,35.695046,-105.951401
2005,Rodeo Rd FS Richards Ave,35.691552,-105.945858
2006,Cam. Entrada OPS Fam. Shelter,35.630201,-106.028495
2007,Cam. Ortiz Ops MVD,35.632927,-106.024955
2008,Cam. Ortiz NS Cam. Entrada ,35.633071,-106.022474
2009,Camino Lejo NS Old Santa Fe Trail ,35.668059,-105.924943
2010,E. Alameda Ave. NS El Alamo St,35.683352,-105.926193
2011,E. Alameda. @ Walking Bridge,35.682363,-105.925013
2012,E. Alameda NS E. Palace Ave.,35.68064,-105.923443
2013,Camino Del Monte Sol FS Old Santa Fe Trail,35.668269,-105.922505
2014,Cam Del Monte Sol NS Camino de Cruz Blanca,35.669657,-105.922267
2015,Camino de Cruz Blanca @ S.F. Prep. School,35.669923,-105.920084
2016,Camino de Cruz Blanca NS Calle Rumolo,35.670223,-105.915879
2017,Cam de Cruz Blanca NS St. John's College Ent,35.669295,-105.914157
2018,Calle Picacho FS Camino de Cruz Blanca,35.669369,-105.90981
2019,Calle Picacho @Rio Grande School,35.670963,-105.911647
2020,Camino Cabra @ Atalaya School,35.672733,-105.913406
2021,Camino Cabra OPS Camino de La Luz,35.673434,-105.913781
2022,Camino Cabra FS Camino Ribera,35.675462,-105.914871
2023,Camino Cabra FS Camino San Acacio,35.677662,-105.915907
2024,Camino Cabra FS Cristo Rey St.,35.678856,-105.916368
2025,E. Alameda St. OPS Park Entrance,35.680492,-105.918785
2027,833 E. Alameda St,35.682549,-105.92494
2028,E. Alameda St. NS Delgado St.,35.684627,-105.930877
2029,E. Alameda St. NS Paseo de Peralta,35.684481,-105.933783
2030,E. Alameda St. @ City Parking lot,35.684617,-105.935305
2031,Cam. Ortiz FS Cam Entrada,35.633163,-106.022379
2032,Cam. Ortiz @ MVD,35.632993,-106.025076
2035,Siringo Rd. FS Llano,35.652073,-105.970231
2037,Miguel Chavez Rd.FS Brothers Rd.,35.650444,-105.953357
2038,Siringo Rd. FS Llano St.,35.65231,-105.970688
2042,Zia Rd OPS Villa Real Apts.,35.646865,-105.954716
2043,Don Diego Ave NS Adela St.,35.676327,-105.948311
2045,Don Diego Ave. NS Adela St.,35.67622,-105.9482
2050,Botulph Rd. fS Chavez Rd,35.649238,-105.947922
2051,Botulph Rd. NS Chavez Rd,35.649278,-105.947642
2052,E. Alameda St. NS Alamo,35.68338,-105.926002
2053,E. Alameda St. NS Old Santa Fe Trail.,35.684847,-105.937787
2054,E. Alameda St. OPS City Parking Lot,35.684527,-105.9357
2055,E. Alameda Ave. NS Delgado,35.684546,-105.931251
2057,So. Meadow FS Jaguar,35.62787,-106.032482
2058,Zia Rd. OPS Capshaw Jr. High School,35.645691,-105.951776
2059,E. Alameda NS Old Santa Fe Trl,35.684924,-105.937514
2062,Botulph Rd. NS Zia Rd,35.646026,-105.94757
2063,Zia Rd. NS Botulph,35.645658,-105.947543
2064,Agua fria FS Santeros Pl,35.648895,-106.03692
2065,Cerrillos Rd NS Gilmore,35.679185,-105.950853
2066,Cam. Entrada @ Victory Church,35.6303,-106.028626
2067,Botulph Rd. NS Calle Ojo Feliz,35.652467,-105.947994
3002,Cerrillos Rd. FS Zafarano,35.640577,-106.011371
3003,Cerrillos Rd. FS Vegas Verde,35.64449,-106.008746
3004,Rodeo FS GCCC ,35.639094,-105.99386
3005,Rodeo Rd. NS Rodeo Ln,35.638639,-106.006168
3006,Cerrillos FS Alta Vista,35.672946,-105.960932
3007,Rodeo FS GCCC Entrance,35.639057,-105.993884
3100,Cerrillos Rd. @ HSD,35.659423,-105.982618
5005,Hospital Drive OPS Santa Fe Imaging,35.637951,-105.958838
5006,Sawmill Rd. OPS Ventoso,35.639259,-105.947511
5007,Sawmill Rd. OPS Pradera,35.642289,-105.951369
5008,Sawmill Rd. NS Pradera,35.641974,-105.951622
5009,Sawmill Rd. NS Ventoso,35.639345,-105.947757
6001,Rodeo Park east FS Vivigen way,35.636786,-105.95975
6002,Rodeo Park East @ Eye associates,35.635418,-105.961061
6003,Rodeo Park west NS Vivigen way,35.637668,-105.960953
6004,2905 Rodeo Park East,35.637822,-105.958559
6005,Rodeo rd. @ Rainbow Vision,35.638424,-105.952476
6006,Siringo NS Ridgeway,35.652144,-105.951696
6007,Brother Rd OPS Vet Center,35.651219,-105.952429
6012,Rodeo Rd. Via Antigua,35.638652,-105.952067
6013,Agua Fria FS Willy Rd,35.649625,-106.036241
6014,Cam. Entrada FS Cam. Entrada ,35.634823,-106.021043
7001,Sandoval St. FS W. Alameda St.,35.686222,-105.94311
7002,Country Club NS Camino Rojo,35.628804,-106.050933
7004,Jaguar Dr. NS Apache Knl,35.623368,-106.053814
7005,Jaguar Dr. NS Plaza del Sol West,35.620561,-106.056961
7006,Plaza del Sol West FS Plaza Central,35.625325,-106.061437
7007,Plaza del Sol West  NS Airport Rd.,35.633175,-106.060691
9001,HSD,35.6085,-106.039787
9002,Rancho Veijo FS Dinosaur Rd.,35.597831,-106.039276
9003,Rancho Veijo NS Avenida Del Sur,35.597432,-106.014557
9004,A Van Nu Po OPS IAIA,35.584764,-106.008118
9005,Richards Ave FS E Saddleback,35.588973,-105.997204
9006,Richards Ave FS Flowering Wells Rd.,35.590637,-105.991694
9007,Richards Ave NS Chile Line Rd,35.593738,-105.998917
9008,Richards Ave FS Chile Line Rd,35.593303,-105.999463
9009,Richards Ave OPS Dalton,35.590639,-105.992666
9010,Richards Ave NS E Saddleback,35.58924,-105.998499
9011,A Van Nu Po @ IAIA,35.585822,-106.008331
9012,Rancho Veijo FS Avenida Del Sur,35.598047,-106.013476
9013,Rancho Veijo NS Dinosuar Rd.,35.598182,-106.038195
9015,Governor Miles FS Richards Ave,35.628336,-106.001292
9016,Governor Miles NS Richards Ave,35.627367,-106.001295
